model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
LDA (auto shrinkage),0.8780041797283177,0.004859215056880429,0.6951663008153546,0.010986859797256774,0.9009467084806537,0.005162347558233629
LDA (no shrinkage),0.8818181818181818,0.0032778238539933145,0.7068737701389758,0.006443342781435723,0.9075848244199654,0.005039571943203356
QDA (reg=0.0),0.665987460815047,0.21643054638297662,0.459670990988261,0.0907939292404605,0.7340663830050865,0.10453095599503656
QDA (reg=0.1),0.8475444096133751,0.012821831831377148,0.6712895402472647,0.012257798465542721,0.868435108237796,0.007983218148134946
QDA (reg=0.3),0.8502612330198538,0.003779853134312629,0.6473191238453523,0.012101329144763194,0.8591188834113723,0.008862192807982075
QDA (reg=0.5),0.8455067920585162,0.005805253685797653,0.6209122370144499,0.01837290514039393,0.8503981010629593,0.009123259023137981
